,id,name,kor_name,tag,new_kor_name
65,229,clary sage,클라리 세이지,"달콤함, 산뜻함, 치유",클라리 세이지
66,231,clearwood,클리어우드,"부드러움, 흙향, 시원함",맑은 나무
67,233,clementine,클레멘타인,"새콤함, 향긋함",클레멘타인
68,236,clover,클로버,"달콤함, 산뜻함",클로버
69,237,cloves,클로브스,"달콤함, 매콤함, 시원함",정향나무
70,245,coconut,코코넛,"느끼함, 달콤함",코코넛
71,247,coffee,커피,"고소함, 달콤함, 씁쓸함",커피
72,250,cognac,코냑,"강렬함, 묵짐함, 향긋함",코냑
73,254,copahu balm,코파후 밤,"산뜻함, 향긋함",코파후 밤
74,259,coriander,코리안더,"얼얼함, 강렬함",고수
75,264,cosmone,코즈먼,"달콤함, 기분좋은",코스모네
76,267,costus,코스터스,"더러움, 관능적",코스터스
77,269,cotton flower,코튼 플라워,"은은함, 포근함, 달달함",코튼 플라워
78,271,coumarin,쿠머린,"허브향, 달콤함, 따뜻함",쿠머린
79,272,cranberry,크렌베리,"새콤함, 씁쓸함, 달콤함",크렌베리
80,273,cream,크림,"달콤함, 부드러움",크림
81,281,cucumber,큐컴버,"깔끔함, 시원함",오이
82,282,cumin,쿠민,"강렬함, 상쾌함",커민
83,290,cyclamen,사이클라멘,"가벼움, 깨끗함, 신비로움",시클라멘
84,292,cypress,사이프레스,"향긋함, 은은함, 진정",사이프러스
85,300,dark chocolate,다크 초콜렛,"씁쓸함, 고소함, 달콤함, 묵직함",다크 초콜릿
86,301,dates,데이츠,"달달함, 과일향",데이츠
87,302,datura,다투라,"달콤함, 중독성",흰독말풀
88,303,davana,다바나,"향긋함, 부드러움",다바나
89,306,desert rose,데저트 로즈,"묵직함, 은은함",사막장미
90,308,dewberry,듀베리,"새콤함, 씁쓸함, 달콤함",듀베리
91,317,dried fruits,드라이드 프루츠,달콤함,말린 과일
92,319,driftwood,드리프트우드,"축축함, 습함, 묵직함",유목
93,321,dulce de leche,두셀 데 리체,"달달함, 캐러멜향",둘세 데 레체
94,323,earl grey tea,얼그레이 티,"은은함, 향긋함",얼그레이 티
95,325,earthy notes,어시 노츠,"텁텁함, 흙향",땅 향기
96,329,eglantine rose,에글런타인 로즈,"향긋함, 달달함",들장미
97,331,elemi,일레미,"묵직함, 향긋함",엘레미
98,336,eucalyptus,유칼립투스,"묵직함, 시원함, 스트레스 해소",유칼립투스
99,339,fennel,펜넬,"향긋함, 상큼함, 강렬함",회향
100,340,fenugreek,페누그릭,"상큼함, 매콤함",호로파
101,341,fern,페른,"축축함, 습함, 묵직함",양치식물
102,343,fig,피그,"달콤함, 씁쓸함",무화과
103,344,fig leaf,피그 리프,"씁쓸함, 향긋함",무화과 잎
104,347,fir,퍼,"향긋함, 은은함, 시원함",전나무
105,351,flax,플렉스,"향긋함, 상큼함",아마
106,352,flint,플린트,"매콤함, 얼얼함",부싯돌
107,353,floral notes,플로럴 노트,"달콤함, 상큼함, 향긋함",꽃 향기
108,357,frangipani,프렌지파니,"강렬함, 달콤함, 향긋함",프랑지파니
109,358,freesia,프리지아,"향긋함, 은은함",프리지아
110,362,fruity notes,프루티 노트,"달콤함, 상큼함, 향긋함",과일 향기
111,364,galanga,갈랑가,"매콤함, 강렬함",갈랑가(생강)
112,366,galbanum,갈바늄,"향긋함, 산뜻함",갈바넘
113,367,gardenia,가디니아,"달달함, 부드러움, 시원함",치자나무
114,372,geranium,제레니움,"독특함, 상큼함",제라늄
115,375,gin,진,"묵직함, 강렬함",증류주
116,376,ginger,진저,"매콤함, 강렬함",생강
117,377,gingerbread,진저브레드,"달콤함, 매콤함",생강빵
118,388,grapefruit,그레이프프룻,"상큼함, 달달함, 향긋함",자몽
119,389,grapefruit blossom,그레이프프룻 블라썸,"달달함, 향긋함",자몽 꽃
120,392,grass,그래스,"풀,은은함,편안함",잔디
121,395,green notes,그린 노트,"숲,내추럴,자연적,어린풀,녹색향,싱그러움,깔끔함",그린 노트
122,396,green pepper,그린 페퍼,"스파이스,채소",피망
123,397,green sap,그린 삽,"풀향,자연적,싱그러움",그린 수액
124,400,grenadine,그레네딘,"달달한,석류향",그레네딘
125,403,guaiac wood,과이악 우드,"우디,스모키,발사믹,바닐라향,부드러움,크리미함,샌달우드",구아이악 우드
126,406,guava,구아바,트로피칼,구아바
127,408,gunpowder,건파우더,"후추,유황,화약,폭죽,판타지스러움",화약
128,413,hawthorn,호쏜,"강렬한,머스키,애니멀릭,꿀,꽃향,달콤함",산사나무
129,414,hay,헤이,"드라이,마른잔디",건초
130,416,hazelnut,헤이즐넛,"우디,고소한,향긋함,견과류,크리미함",헤이즐넛
131,420,hedione,헤디오니,"자스민,아로마,풀잎향,꽃향,순수함,아기자기함,자연스러움,은은함,깨끗함, 여리여리함",헤디온
132,421,heliotrope,힐리오트롭,"아몬드향,바닐라,바닐라초콜릿,달콤한,부드러움,낭만적",헬리오트로피움
133,426,hibiscus,히비스커스,"부드러운,꽃향,머스키",히비스커스
134,428,hinoki wood,히노키 우드,"일본풍,레몬향,상록수향,내추럴,자연적,순수함",편백 우드
135,433,honey,허니,달콤함,허니
136,437,honeysuckle,허니서클,"꿀향,꽃가루,달콤함,자연적,성숙함,중성적",인동속
137,444,hyacinth,히아신스,"신선함,여름,싱그러움,가벼움",히안시스
138,450,immortelle,임모텔,"건초,담배,꿀,건조함,달콤함",커리플랜트
139,452,incense,인센스,스모키,인센스
140,454,indian oud,인디안 오드,"애니멀릭,우드,스모키,섹시함",인디안 오드
141,459,ink,잉크,"먹물,판타지스러움",잉크
142,461,iris,아이리스,"흙향,파우더리,꽃향",아이리스
143,463,iso e super,아이소 에 수퍼,"우디,페로몬,미묘함,미세함,아로마",아이소 에 수퍼
144,465,ivy,아이비,"매콤함,시원한,풀향,상쾌함",담쟁이덩굴
145,472,jasmine,자스민,"꽃향,달콤함,풍부함,관능미,성숙함,매력적,편안함",자스민
146,474,jasmine tea,자스민 티,"꿀,달콤함,은은함,성숙함,편안함",자스민 티
147,480,juniper,주니퍼,"발사믹,솔향,소나무향",향나무
148,481,juniper berries,주니퍼 베리즈,"발사믹,솔향,소나무향,아로마",두송자
149,483,kaffir lime,카피어 라임,"시트러스,상큼함,달콤함",카피르 라임
150,491,kiwi,키위,"트로피칼,달콤함,시큼함",키위
151,497,kumquat,컴쾃,"시트러스,레몬향,달콤함,시큼함",금귤
152,498,labdanum,라다넘,"따뜻함,짙음,스파이시향,진정,가죽향,애니멀릭,독특함,매력적",랍다넘
153,507,laotian oud,라오 우드,우디,라오스 우드
154,512,lavender,라벤더,"플로럴,향기로움,진정,매혹적,깨끗함",라벤더
155,513,leather,레더,"가죽향,스파이시향",가죽
156,515,lemon,레몬,"시트러스,시큼함,달콤함,밝음,명량함,생동감,여름",레몬
157,517,lemon blossom,레몬 블로섬,"꽃향,달콤함,스파클링,가벼움",레몬 블로섬
158,519,lemon verbena,레몬 버베나,"허브,레몬향,꽃향,시트러스,향기로움,깨끗함",레몬 버베나
159,520,lemon zest,레몬 버비너,"아로마,시트러스,시큼함,달콤함,밝음,명량함,생동감,여름",레몬 껍질
160,522,lemongrass,레몬그라스,"아로마,허브,시트러스,강렬한,레몬향,스파이시향",레몬그라스
161,524,lichen,라이컨,"쓴향,씁쓸함,묵직함,숲바닥,시프레향,푸제르향,남성적",이끼
162,525,licorice,리커리시,"달콤함,부드러움,스파이시,아니스향",감초
163,526,lilac,라일락,"꽃향,달콤함,신선함,고움,자스민,꿀",라일락
164,527,lily,릴리,"꽃향,달콤함,크리미함,은은함,청조함",백합
165,529,lily-of-the-valley,릴리 오브 더 밸리,"비누향,달콤함,자스민,은은함,청조함,싱그러움",은방울꽃
166,530,lime,라임,"시트러스, 상큼함, 달콤함",라임
167,545,lotus,로터스,"꽃향,싱그러움,워터리,청조함,부드러움,파우더리,여성스러움",연꽃
168,552,mace,메이스,"계피향,후추향,약간의 시트러스",메이스
169,555,magnolia,마그놀리아,"신선함, 달콤함, 약간의 레몬향, 평온함",목련
170,556,mahogany,마호가니,"묵직함, 시원함",마호가니
171,562,mandarin orange,만다린 오렌지,"달콤함, 상큼함, 새콤함",밀감
172,565,mango,망고,"달달함, 달콤함",망고
173,570,maple,메이플,달달함,단풍
174,574,marigold,매리골드,"달달함, 향긋함",천수국
175,576,marjoram,마조람,"강렬함, 풋풋함",마조람
176,579,marshmallow,마시멜로우,"달달함, 달콤함, 부드러움, 포근함",마시멜로우
177,586,mate,메이트,"씁쓸함, 향긋함",메이트
178,593,melon,멜론,"달달함, 달콤함",멜론
179,596,metallic notes,메탈릭 노트,"강렬함, 비릿함",철 냄새
180,599,milk,밀크,"달콤함, 부드러움, 포근함",우유
181,601,mimosa,미모사,"화사함, 달콤함, 파우더리, 린넨",미모사
182,603,mineral notes,미네랄 노트,"시원함, 청량함",미네랄 노트
183,604,mint,민트,"상쾌함, 청량함, 시원함, 깨끗함",민트
184,624,musk,머스크,"따뜻함, 포근함, 부드러움",머스크
185,627,myrrh,미르라,"달콤한 발삼향, 약한 스파이시 향",몰약
186,628,myrtle,미르틀,"신선한 과일향, 허브향",머틀
187,630,narcissus,나르키소스,"수선화향, 싱그러움, 꽃향",수선화
188,631,nashi pear,나시 피어,"수분감, 달콤함, 시원함",배
189,634,nectarine,넥터린,"상큼함, 유쾌함, 활발함",천도복숭아(미국)
190,639,neroli,네럴리,"꽃향, 달콤함",비터오렌지 나무의 오일
191,643,night blooming jasmine,나잇 블라섬 자스민,"자스민향, 꽃향",나잇 블루밍 자스민
192,646,nutmeg,넛메그,"고소함, 달콤함, 강렬함",육두구
193,647,oak,오크,"우드향, 차분함",참나무
194,649,oakmoss,오크모스,"우드향, 차분함, 신비로움",녹색이끼
195,654,olive flower,올리브 플라워,"달콤함, 신선함",올리브 꽃
196,659,opoponax,오포 파낙스,"흙냄새, 꽃향",오포 파낙스
197,660,orange,오렌지,"상큼함, 새콤함, 시원함, 청량함",오렌지
198,661,orange blossom,오렌지 블라섬,"오렌지향, 상큼함, 꽃향",오렌지꽃
199,664,orchid,오키드,"시원함, 달콤함, 열대과일",오키드
200,667,oregano,오레가노,"매콤함, 산뜻함",오레가노
201,668,oriental notes,오리엔탈 노트,"부드러움, 스파이시",오리엔탈 노트
202,669,orris root,오리스 루트,"부드러움, 달콤함, 섬세함",피렌체 백합 뿌리
203,670,osmanthus,오스만터스,"복숭아향, 살구향, 프루티",오스만터스
204,672,ozonic notes,오존익 노트,"깨끗한, 상쾌함, 신선한 공기향",오조닉 노트
205,673,palisander rosewood,팔리센터 로즈우드,"숲향, 나무향, 장미향",팔리센더 로즈우드
206,674,palm leaf,팜 리프,"산뜻함, 달달함, 풀향",코코넛 잎
207,676,palo santo,팔로 산토,"우아함, 묵직함, 향나무",향나무
208,680,papaya,파파야,"달콤함, 달달함",파파야
209,681,papaya blossom,파파야 블라섬,"달달함, 산뜻함, 향긋함",파파야 꽃
210,684,papyrus,파피러스,"풋풋함, 축축함",파피루스
211,686,paradisone,파라디소네,"달달함, 향긋함, 감각적",파라디소네
212,689,passion flower,패션 플라워,"산뜻함, 향긋함",시계초
213,690,passionfruit,패션후르츠,"달콤함, 산뜻함, 새콤함",패션후르츠
214,692,patchouli,파출리,"산뜻함, 향긋함",파촐리
215,694,peach,피치,"달콤함, 새콤함",복숭아
216,695,peach blossom,피치 블라섬,"산뜻함, 향긋함, 꽃향",복숭아꽃
217,698,pear,피어,"달콤함, 시원함",배
218,699,pear blossom,피어 블라섬,"산뜻함, 향긋함, 꽃향",배 꽃
219,703,peat,피트,"텁텁함, 흙향",토탄
220,706,pelargonium,펠라르고늄,"향긋함, 산뜻함",페라고늄
221,707,peony,피어니,"달달함, 향긋함",모란
222,708,pepper,페퍼,"강렬함, 매콤함",후추
223,712,persimmon,퍼시몬,"달달함, 텁텁함",감
224,714,petalia,페탈리아,"향긋함, 산뜻함",꽃잎
225,715,petitgrain,쁘띠 그레인,"산뜻함, 안정감, 항우울",페티그레인
226,718,pimento,피멘토,"강렬함, 매콤함",피멘토(고추)
227,723,pineapple,파인애플,"달콤함, 상큼함",파인애플
228,725,pink pepper,핑크 페퍼,"강렬함, 매콤함",홍후추
229,727,pistachio,피스타치오,"고소함, 달달함",피스타치오
230,730,pittosporum,피토스포룸,"산뜻함, 시원함",해동화
231,732,plum,플럼,"달달함, 상큼함, 새콤함",자두
232,733,plum blossom,플럼 블라섬,"달콤함, 향긋함, 꽃향",매화꽃
233,739,pomegranate,파머그래넛,"달콤함, 새콤함, 상큼함",석류
234,741,pomelo,포멜로,"달콤함, 새콤함, 상큼함",중국 자몽
235,742,popcorn,팝콘,"고소함, 달달함",팝콘
236,747,powdery notes,파우더리 노트,"달달함, 포근함, 산뜻함",파우더향
237,748,praline,프랄린,"달콤함, 달달함",프랄린
238,754,prosecco,프로세소,"산뜻함, 향긋함",프로세코(와인)
239,757,pumpkin,펌킨,"달달함, 묵직함",호박
240,759,quince,퀸스,"향긋함, 새콤함",모과
241,765,raspberry,라즈베리,"달달함, 꽃같은",라즈베리
242,766,raspberry blossom,라즈베리 블라섬,"과일향, 꽃같은, 장미향",라즈베리 블라섬
243,770,red apple,레드 애플,"신선함, 달달함, 새콤함",레드 애플
244,771,red berries,레드 배리,"톡쏘는, 달콤함, 과일향",레드 베리
245,773,red fruits,레드 푸르츠,"새콤함, 달달함",레드 푸르츠
246,776,reed,리드,"약초향, 약간의 단향, 편향된",갈대
247,777,reseda,레세다,향긋함,레세다
248,778,resins,레진,"강함, 바닐라향",레진
249,780,rhubarb,루바브,"강렬함, 새콤함, 달콤함, 풀내음",루바브
250,781,rice,라이스,포근함,쌀
251,785,rose,로즈,"파우더리함, 여성스러움, 상큼함",로즈
252,786,rose hip,로즈 힙,"달콤함, 약간의 장미향",로즈 힙
253,793,rosemary,로즈마리,"허브향, 강렬함, 시원함, 깨끗함",로즈마리
254,796,rum,럼,"복잡함, 우디함, 달콤함",럼
255,800,saffron,샤프론,"세련된, 부드러움, 가죽같은, 흙향",샤프론
256,801,safraleine,샤프러닌,"가죽같은, 씁쓸함, 부드러움",샤프러닌
257,802,sage,세이지,"부드러움, 향긋함, 후추향",세이지
258,805,salt,솔트,"바다향, 우디함, 짭짤함",솔트
259,808,sandalwood,샌달우드,"따뜻함, 묵직함, 이국적",백단향
260,818,sea water,시 워터,"짭짤함, 비릿함",바닷물
261,819,seaweed,시위드,"비릿함, 시원함",해초
262,820,sequoia,세퀴이아,"묵직함, 산뜻함, 시원함",세쿼이아
263,822,shiso,시소,"산뜻함, 풋풋함",소엽
264,824,sichuan pepper,쓰촨 페퍼,"강렬함, 매콤함, 얼얼함",사천 후추
265,832,smoke,스모크,"강렬함, 매콤함",연기
266,838,solar notes,솔라 노트,"따뜻함, 포근함",태양 향기
267,841,sour cherry,사워 체리,새콤함,사워 체리
268,846,spicy notes,스파이시 노트,"강렬함, 매콤함",매움 향기
269,851,spun sugar,스푼 슈거,"달달함, 포근함",솜사탕
270,854,star anise,스타아니스,"강렬함, 묵직함, 특이함",팔각
271,858,strawberry,스트로베리,"달콤함, 상큼함",딸기
272,863,styrax,스트락스,"향긋함, 상큼함",때죽나무
273,864,suede,스웨이드,부드러움,스웨이드
274,865,sugar,슈가,"달달함, 달콤함",설탕
275,868,sunflower,선플라워,"상쾌함, 향긋함",해바라기
276,872,sweet pea,스위트 피,"달콤함, 향긋함",스위트피
277,875,syringa,시링가,"시원함, 묵직함, 산뜻함",고광나무속
278,877,taif rose,타이프 로즈,"달콤함, 상큼함",타이프로즈
279,882,tangelo,탄젤로,"달콤함, 상큼함, 새콤함",탄젤로
280,883,tangerine,탄젤린,"달콤함, 상큼함, 새콤함",감귤
281,886,tarragon,타라곤,"강렬함, 향긋함, 씁쓸함",사철쑥
282,888,tea,티,"햣긋함, 산뜻함",차
283,890,teak wood,티크 우드,"향긋함, 산뜻함, 묵직함",티크나무
284,896,thyme,타임,"강렬함, 향긋함",타임
285,898,tiare flower,티아레 플라워,"강렬함, 매콤함",티아레 플라워
286,900,tobacco,토바코,"텁텁함, 강렬함",담배
287,901,tobacco blossom,토바코 블라섬,"텁텁함, 알싸함, 강렬함",담배꽃
288,902,toffee,토피,"고소함, 달달함, 부드러움",토피사탕
289,906,tomato leaf,토마토 리프,"산뜻함, 풋풋함",토마토잎
290,908,tonka bean,톤카 빈,"달달함, 따뜻함, 강렬함",통카 빈
291,911,tropical fruits,트로피카 푸르츠,"달콤함, 상큼함",열대과일
292,913,tuberose,터브로즈,"텁텁함, 풋풋함",덩이줄기
293,920,vanilla,바닐라,"달달함, 부드러움",바닐라
294,924,vetiver,베티버,"산뜻함, 풋풋함",베티베르
295,927,violet,바이올렛,"달달함, 향긋함",제비꽃
296,928,violet leaf,바이올렛 리프,"씁쓸함, 향긋함",제비꽃 잎
297,931,wallflower,월프 플라워,"향긋함, 황홀함",꽃무
298,932,walnut,월넛,"고소함, 묵직함",호두
299,937,water hyacinth,워터 히아신스,"축축함, 향긋함, 은은함",부레옥잠
300,938,water lily,워터 릴리,"축축함, 향긋함, 은은함",수련
301,940,watermelon,워터멜론,"달콤함, 상큼함, 시원함",수박
302,944,whiskey,위스키,"강렬함, 향긋함, 묵직함",위스키
303,945,white chocolate,화이트 초콜릿,"달콤함, 묵직함, 고소함",화이트 초콜릿
304,947,white flowers,화이트 플라워,"상큼함, 향긋함",흰 꽃
305,949,white oud,화이트 오드,"깊음, 묵직함, 매콤함",화이트 오드
306,953,wild strawberry,와일드 스트로베리,"향긋함, 달콤함",야생딸기
307,954,wildflowers,와일드 플라워,"향긋함, 산뜻함",야생화
308,957,wisteria,위스테리아,"시원함, 산뜻함",등나무
309,959,woody notes,우드 노트,"시원함, 산뜻함",나무 향기
310,962,wormwood,웜우드,"씁쓸함, 향긋함",약쑥
311,966,ylang-ylang,일랑-일랑,"상큼함, 향긋함",일랑일랑
312,971,yuzu,유즈,"상큼함, 달콤함",유자
